"Story","Title","Result","Date","Stability","Duration (s)"
"Create invitation","Invite other user","SUCCESS","2022-09-27T19:48:24.9750992+07:00[Asia/Jakarta]","0.0","0.33"
"Login","Login with valid email and password","SUCCESS","2022-09-27T19:48:25.3296827+07:00[Asia/Jakarta]","0.0","0.08"
"Login","Login with null email and password","SUCCESS","2022-09-27T19:48:25.4204415+07:00[Asia/Jakarta]","0.0","0.05"
"Login","Login with invalid email and password","SUCCESS","2022-09-27T19:48:25.4872621+07:00[Asia/Jakarta]","0.0","0.1"
"Login","Login with valid email and invalid password","SUCCESS","2022-09-27T19:48:25.6044635+07:00[Asia/Jakarta]","0.0","0.07"
"Create new post","Trigger create post pop-up","SUCCESS","2022-09-27T19:48:25.7071901+07:00[Asia/Jakarta]","0.0","0.08"
"Create new post","Create post with only words","SUCCESS","2022-09-27T19:48:25.8049304+07:00[Asia/Jakarta]","0.0","0.05"
"Create new post","Create post with image","SUCCESS","2022-09-27T19:48:25.8637706+07:00[Asia/Jakarta]","0.0","0.06"
"Create new post","Create post with video","SUCCESS","2022-09-27T19:48:25.9355791+07:00[Asia/Jakarta]","0.0","0.07"
"Create new post","Create post with document","SUCCESS","2022-09-27T19:48:26.0223453+07:00[Asia/Jakarta]","0.0","0.06"
"Search Job","Search with valid keyword","SUCCESS","2022-09-27T19:48:26.0961515+07:00[Asia/Jakarta]","0.0","0.05"
"Search Job","Search with invalid keyword","SUCCESS","2022-09-27T19:48:26.1569868+07:00[Asia/Jakarta]","0.0","0.06"
"Search Job","Click tags","SUCCESS","2022-09-27T19:48:26.2327826+07:00[Asia/Jakarta]","0.0","0.05"
"Search Job","Search with specific tags","SUCCESS","2022-09-27T19:48:26.2876364+07:00[Asia/Jakarta]","0.0","0.05"
